STATENAME	POP	SEASON
Rhode Island	1056017	2014-15
South Carolina	4823793	2014-15
South Dakota	849088	2014-15
Tennessee	6540826	2014-15
Texas	26977142	2014-15
Utah	2937399	2014-15
Vermont	625218	2014-15
Virginia	8312076	2014-15
Washington	7052439	2014-15
West Virginia	1849467	2014-15
Wisconsin	5751974	2014-15
Wyoming	582548	2014-15
Alabama	4853160	2015-16
Alaska	737547	2015-16
Arizona	6833596	2015-16
Arkansas	2978407	2015-16
California	38953142	2015-16
Colorado	5452107	2015-16
Connecticut	3587509	2015-16
Delaware	941413	2015-16
District of Columbia	675254	2015-16
Florida	20224249	2015-16
Georgia	10181111	2015-16
Hawaii	1422484	2015-16
Idaho	1651523	2015-16
Illinois	12864342	2015-16
Indiana	6608296	2015-16
Iowa	3121460	2015-16
Kansas	2909502	2015-16
Kentucky	4425999	2015-16
Louisiana	4664851	2015-16
Maine	1328484	2015-16
Maryland	5986717	2015-16
Massachusetts	6795891	2015-16
Michigan	9932573	2015-16
Minnesota	5482503	2015-16
Mississippi	2988693	2015-16
Missouri	6071745	2015-16
Montana	1030503	2015-16
Nebraska	1891507	2015-16
Nevada	2868666	2015-16
New Hampshire	1336294	2015-16
New Jersey	8870869	2015-16
New Mexico	2090211	2015-16
New York	19661411	2015-16
North Carolina	10033079	2015-16
North Dakota	754022	2015-16
Ohio	11617850	2015-16
Oklahoma	3909831	2015-16
Oregon	4016918	2015-16
Pennsylvania	12785759	2015-16
Rhode Island	1056173	2015-16
South Carolina	4892253	2015-16
South Dakota	853933	2015-16
Tennessee	6590808	2015-16
Texas	27486814	2015-16
Utah	2982497	2015-16
Vermont	625197	2015-16
Virginia	8362907	2015-16
Washington	7163543	2015-16
West Virginia	1841996	2015-16
Wisconsin	5761406	2015-16
Wyoming	585668	2015-16
Alabama	4864745	2016-17
Alaska	741504	2016-17
Arizona	6945452	2016-17
Arkansas	2990410	2016-17
California	39209127	2016-17
Colorado	5540921	2016-17
Connecticut	3578674	2016-17
Delaware	949216	2016-17
District of Columbia	686575	2016-17
Florida	20629982	2016-17
Georgia	10304763	2016-17
Hawaii	1428105	2016-17
Idaho	1682930	2016-17
Illinois	12826895	2016-17
Indiana	6633344	2016-17
Iowa	3131785	2016-17
Kansas	2911263	2016-17
Kentucky	4438229	2016-17
Louisiana	4678215	2016-17
Maine	1331370	2016-17
Maryland	6004692	2016-17
Massachusetts	6826022	2016-17
Michigan	9951890	2016-17
Minnesota	5523409	2016-17
Mississippi	2988298	2016-17
Missouri	6087203	2016-17
Montana	1040863	2016-17
Nebraska	1905924	2016-17
Nevada	2919772	2016-17
New Hampshire	1342373	2016-17
New Jersey	8874516	2016-17
New Mexico	2092789	2016-17
New York	19641589	2016-17
North Carolina	10156679	2016-17
North Dakota	754353	2016-17
Ohio	11635003	2016-17
Oklahoma	3926769	2016-17
Oregon	4091404	2016-17
Pennsylvania	12783538	2016-17
Rhode Island	1057063	2016-17
South Carolina	4958235	2016-17
South Dakota	862890	2016-17
Tennessee	6645011	2016-17
Texas	27937492	2016-17
Utah	3042613	2016-17
Vermont	623644	2016-17
Virginia	8410946	2016-17
Washington	7294680	2016-17
West Virginia	1830929	2016-17
Wisconsin	5772958	2016-17
Wyoming	584290	2016-17
Alabama	4875120	2017-18
Alaska	739786	2017-18
Arizona	7048876	2017-18
Arkansas	3002997	2017-18
California	39399349	2017-18
Colorado	5615902	2017-18
Connecticut	3573880	2017-18
Delaware	957078	2017-18
District of Columbia	695691	2017-18
Florida	20976812	2017-18
Georgia	10413055	2017-18
Hawaii	1424203	2017-18
Idaho	1718904	2017-18
Illinois	12786196	2017-18
Indiana	6660082	2017-18
Iowa	3143637	2017-18
Kansas	2910689	2017-18
Kentucky	4453874	2017-18
Louisiana	4670818	2017-18
Maine	1335063	2017-18
Maryland	6024891	2017-18
Massachusetts	6863246	2017-18
Michigan	9976447	2017-18
Minnesota	5568155	2017-18
Mississippi	2989663	2017-18
Missouri	6108612	2017-18
